case_id,seed,n,r_size,r_prime_size,deleted_count,expected_repair,oracle,singleton,fd_hash,bcnf,all_match,code_version
100,42,20,20,14,6,True,True,True,True,True,True,68869e6
101,42,21,21,15,6,True,True,True,True,True,True,68869e6
102,42,14,14,10,4,True,True,True,True,True,True,68869e6
103,42,15,15,11,4,True,True,True,True,True,True,68869e6
104,42,17,17,12,5,True,True,True,True,True,True,68869e6
105,42,18,18,13,5,True,True,True,True,True,True,68869e6
106,42,20,20,14,6,True,True,True,True,True,True,68869e6
107,42,21,21,15,6,True,True,True,True,True,True,68869e6
108,42,14,14,10,4,True,True,True,True,True,True,68869e6
109,42,15,15,11,4,True,True,True,True,True,True,68869e6
110,42,17,17,12,5,True,True,True,True,True,True,68869e6
111,42,18,18,13,5,True,True,True,True,True,True,68869e6
112,42,20,20,14,6,True,True,True,True,True,True,68869e6
113,42,21,21,15,6,True,True,True,True,True,True,68869e6
114,42,14,14,10,4,True,True,True,True,True,True,68869e6
115,42,15,15,11,4,True,True,True,True,True,True,68869e6
116,42,17,17,12,5,True,True,True,True,True,True,68869e6
117,42,18,18,13,5,True,True,True,True,True,True,68869e6
118,42,20,20,14,6,True,True,True,True,True,True,68869e6
119,42,21,21,15,6,True,True,True,True,True,True,68869e6
120,42,14,14,10,4,True,True,True,True,True,True,68869e6
121,42,15,15,11,4,True,True,True,True,True,True,68869e6
122,42,17,17,12,5,True,True,True,True,True,True,68869e6
123,42,18,18,13,5,True,True,True,True,True,True,68869e6
124,42,20,20,14,6,True,True,True,True,True,True,68869e6
125,42,21,21,15,6,True,True,True,True,True,True,68869e6
126,42,14,14,10,4,True,True,True,True,True,True,68869e6
127,42,15,15,11,4,True,True,True,True,True,True,68869e6
128,42,17,17,12,5,True,True,True,True,True,True,68869e6
129,42,18,18,13,5,True,True,True,True,True,True,68869e6
130,42,20,20,14,6,True,True,True,True,True,True,68869e6
131,42,21,21,15,6,True,True,True,True,True,True,68869e6
132,42,14,14,10,4,True,True,True,True,True,True,68869e6
133,42,15,15,11,4,True,True,True,True,True,True,68869e6
134,42,17,17,12,5,True,True,True,True,True,True,68869e6
135,42,18,18,13,5,True,True,True,True,True,True,68869e6
136,42,20,20,14,6,True,True,True,True,True,True,68869e6
137,42,21,21,15,6,True,True,True,True,True,True,68869e6
138,42,14,14,10,4,True,True,True,True,True,True,68869e6
139,42,15,15,11,4,True,True,True,True,True,True,68869e6
140,42,17,17,12,5,True,True,True,True,True,True,68869e6
141,42,18,18,13,5,True,True,True,True,True,True,68869e6
142,42,20,20,14,6,True,True,True,True,True,True,68869e6
143,42,21,21,15,6,True,True,True,True,True,True,68869e6
144,42,14,14,10,4,True,True,True,True,True,True,68869e6
145,42,15,15,11,4,True,True,True,True,True,True,68869e6
146,42,17,17,12,5,True,True,True,True,True,True,68869e6
147,42,18,18,13,5,True,True,True,True,True,True,68869e6
148,42,20,20,14,6,True,True,True,True,True,True,68869e6
149,42,21,21,15,6,True,True,True,True,True,True,68869e6
150,42,14,14,10,4,True,True,True,True,True,True,68869e6
151,42,15,15,11,4,True,True,True,True,True,True,68869e6
152,42,17,17,12,5,True,True,True,True,True,True,68869e6
153,42,18,18,13,5,True,True,True,True,True,True,68869e6
154,42,20,20,14,6,True,True,True,True,True,True,68869e6
155,42,21,21,15,6,True,True,True,True,True,True,68869e6
156,42,14,14,10,4,True,True,True,True,True,True,68869e6
157,42,15,15,11,4,True,True,True,True,True,True,68869e6
158,42,17,17,12,5,True,True,True,True,True,True,68869e6
159,42,18,18,13,5,True,True,True,True,True,True,68869e6
160,42,20,20,14,6,True,True,True,True,True,True,68869e6
161,42,21,21,15,6,True,True,True,True,True,True,68869e6
162,42,14,14,10,4,True,True,True,True,True,True,68869e6
163,42,15,15,11,4,True,True,True,True,True,True,68869e6
164,42,17,17,12,5,True,True,True,True,True,True,68869e6
165,42,18,18,13,5,True,True,True,True,True,True,68869e6
166,42,20,20,14,6,True,True,True,True,True,True,68869e6
167,42,21,21,15,6,True,True,True,True,True,True,68869e6
168,42,14,14,10,4,True,True,True,True,True,True,68869e6
169,42,15,15,11,4,True,True,True,True,True,True,68869e6
170,42,17,17,12,5,True,True,True,True,True,True,68869e6
171,42,18,18,13,5,True,True,True,True,True,True,68869e6
172,42,20,20,14,6,True,True,True,True,True,True,68869e6
173,42,21,21,15,6,True,True,True,True,True,True,68869e6
174,42,14,14,10,4,True,True,True,True,True,True,68869e6
175,42,15,15,11,4,True,True,True,True,True,True,68869e6
176,42,17,17,12,5,True,True,True,True,True,True,68869e6
177,42,18,18,13,5,True,True,True,True,True,True,68869e6
178,42,20,20,14,6,True,True,True,True,True,True,68869e6
179,42,21,21,15,6,True,True,True,True,True,True,68869e6
180,42,14,14,10,4,True,True,True,True,True,True,68869e6
181,42,15,15,11,4,True,True,True,True,True,True,68869e6
182,42,17,17,12,5,True,True,True,True,True,True,68869e6
183,42,18,18,13,5,True,True,True,True,True,True,68869e6
184,42,20,20,14,6,True,True,True,True,True,True,68869e6
185,42,21,21,15,6,True,True,True,True,True,True,68869e6
186,42,14,14,10,4,True,True,True,True,True,True,68869e6
187,42,15,15,11,4,True,True,True,True,True,True,68869e6
188,42,17,17,12,5,True,True,True,True,True,True,68869e6
189,42,18,18,13,5,True,True,True,True,True,True,68869e6
190,42,20,20,14,6,True,True,True,True,True,True,68869e6
191,42,21,21,15,6,True,True,True,True,True,True,68869e6
192,42,14,14,10,4,True,True,True,True,True,True,68869e6
193,42,15,15,11,4,True,True,True,True,True,True,68869e6
194,42,17,17,12,5,True,True,True,True,True,True,68869e6
195,42,18,18,13,5,True,True,True,True,True,True,68869e6
196,42,20,20,14,6,True,True,True,True,True,True,68869e6
197,42,21,21,15,6,True,True,True,True,True,True,68869e6
198,42,14,14,10,4,True,True,True,True,True,True,68869e6
199,42,15,15,11,4,True,True,True,True,True,True,68869e6
200,42,17,17,12,5,True,True,True,True,True,True,68869e6
201,42,18,18,13,5,True,True,True,True,True,True,68869e6
202,42,20,20,14,6,True,True,True,True,True,True,68869e6
203,42,21,21,15,6,True,True,True,True,True,True,68869e6
204,42,14,14,10,4,True,True,True,True,True,True,68869e6
205,42,15,15,11,4,True,True,True,True,True,True,68869e6
206,42,17,17,12,5,True,True,True,True,True,True,68869e6
207,42,18,18,13,5,True,True,True,True,True,True,68869e6
208,42,20,20,14,6,True,True,True,True,True,True,68869e6
209,42,21,21,15,6,True,True,True,True,True,True,68869e6
210,42,14,14,10,4,True,True,True,True,True,True,68869e6
211,42,15,15,11,4,True,True,True,True,True,True,68869e6
212,42,17,17,12,5,True,True,True,True,True,True,68869e6
213,42,18,18,13,5,True,True,True,True,True,True,68869e6
214,42,20,20,14,6,True,True,True,True,True,True,68869e6
215,42,21,21,15,6,True,True,True,True,True,True,68869e6
216,42,14,14,10,4,True,True,True,True,True,True,68869e6
217,42,15,15,11,4,True,True,True,True,True,True,68869e6
218,42,17,17,12,5,True,True,True,True,True,True,68869e6
219,42,18,18,13,5,True,True,True,True,True,True,68869e6
220,42,20,20,14,6,True,True,True,True,True,True,68869e6
221,42,21,21,15,6,True,True,True,True,True,True,68869e6
222,42,14,14,10,4,True,True,True,True,True,True,68869e6
223,42,15,15,11,4,True,True,True,True,True,True,68869e6
224,42,17,17,12,5,True,True,True,True,True,True,68869e6
225,42,18,18,13,5,True,True,True,True,True,True,68869e6
226,42,20,20,14,6,True,True,True,True,True,True,68869e6
227,42,21,21,15,6,True,True,True,True,True,True,68869e6
228,42,14,14,10,4,True,True,True,True,True,True,68869e6
229,42,15,15,11,4,True,True,True,True,True,True,68869e6
230,42,17,17,12,5,True,True,True,True,True,True,68869e6
231,42,18,18,13,5,True,True,True,True,True,True,68869e6
232,42,20,20,14,6,True,True,True,True,True,True,68869e6
233,42,21,21,15,6,True,True,True,True,True,True,68869e6
234,42,14,14,10,4,True,True,True,True,True,True,68869e6
235,42,15,15,11,4,True,True,True,True,True,True,68869e6
236,42,17,17,12,5,True,True,True,True,True,True,68869e6
237,42,18,18,13,5,True,True,True,True,True,True,68869e6
238,42,20,20,14,6,True,True,True,True,True,True,68869e6
239,42,21,21,15,6,True,True,True,True,True,True,68869e6
240,42,14,14,10,4,True,True,True,True,True,True,68869e6
241,42,15,15,11,4,True,True,True,True,True,True,68869e6
242,42,17,17,12,5,True,True,True,True,True,True,68869e6
243,42,18,18,13,5,True,True,True,True,True,True,68869e6
244,42,20,20,14,6,True,True,True,True,True,True,68869e6
245,42,21,21,15,6,True,True,True,True,True,True,68869e6
246,42,14,14,10,4,True,True,True,True,True,True,68869e6
247,42,15,15,11,4,True,True,True,True,True,True,68869e6
248,42,17,17,12,5,True,True,True,True,True,True,68869e6
249,42,18,18,13,5,True,True,True,True,True,True,68869e6
250,42,20,20,14,6,True,True,True,True,True,True,68869e6
251,42,21,21,15,6,True,True,True,True,True,True,68869e6
252,42,14,14,10,4,True,True,True,True,True,True,68869e6
253,42,15,15,11,4,True,True,True,True,True,True,68869e6
254,42,17,17,12,5,True,True,True,True,True,True,68869e6
255,42,18,18,13,5,True,True,True,True,True,True,68869e6
256,42,20,20,14,6,True,True,True,True,True,True,68869e6
257,42,21,21,15,6,True,True,True,True,True,True,68869e6
258,42,14,14,10,4,True,True,True,True,True,True,68869e6
259,42,15,15,11,4,True,True,True,True,True,True,68869e6
260,42,17,17,12,5,True,True,True,True,True,True,68869e6
261,42,18,18,13,5,True,True,True,True,True,True,68869e6
262,42,20,20,14,6,True,True,True,True,True,True,68869e6
263,42,21,21,15,6,True,True,True,True,True,True,68869e6
264,42,14,14,10,4,True,True,True,True,True,True,68869e6
265,42,15,15,11,4,True,True,True,True,True,True,68869e6
266,42,17,17,12,5,True,True,True,True,True,True,68869e6
267,42,18,18,13,5,True,True,True,True,True,True,68869e6
268,42,20,20,14,6,True,True,True,True,True,True,68869e6
269,42,21,21,15,6,True,True,True,True,True,True,68869e6
270,42,14,14,10,4,True,True,True,True,True,True,68869e6
271,42,15,15,11,4,True,True,True,True,True,True,68869e6
272,42,17,17,12,5,True,True,True,True,True,True,68869e6
273,42,18,18,13,5,True,True,True,True,True,True,68869e6
274,42,20,20,14,6,True,True,True,True,True,True,68869e6
275,42,21,21,15,6,True,True,True,True,True,True,68869e6
276,42,14,14,10,4,True,True,True,True,True,True,68869e6
277,42,15,15,11,4,True,True,True,True,True,True,68869e6
278,42,17,17,12,5,True,True,True,True,True,True,68869e6
279,42,18,18,13,5,True,True,True,True,True,True,68869e6
280,42,20,20,14,6,True,True,True,True,True,True,68869e6
281,42,21,21,15,6,True,True,True,True,True,True,68869e6
282,42,14,14,10,4,True,True,True,True,True,True,68869e6
283,42,15,15,11,4,True,True,True,True,True,True,68869e6
284,42,17,17,12,5,True,True,True,True,True,True,68869e6
285,42,18,18,13,5,True,True,True,True,True,True,68869e6
286,42,20,20,14,6,True,True,True,True,True,True,68869e6
287,42,21,21,15,6,True,True,True,True,True,True,68869e6
288,42,14,14,10,4,True,True,True,True,True,True,68869e6
289,42,15,15,11,4,True,True,True,True,True,True,68869e6
290,42,17,17,12,5,True,True,True,True,True,True,68869e6
291,42,18,18,13,5,True,True,True,True,True,True,68869e6
292,42,20,20,14,6,True,True,True,True,True,True,68869e6
293,42,21,21,15,6,True,True,True,True,True,True,68869e6
294,42,14,14,10,4,True,True,True,True,True,True,68869e6
295,42,15,15,11,4,True,True,True,True,True,True,68869e6
296,42,17,17,12,5,True,True,True,True,True,True,68869e6
297,42,18,18,13,5,True,True,True,True,True,True,68869e6
298,42,20,20,14,6,True,True,True,True,True,True,68869e6
299,42,21,21,15,6,True,True,True,True,True,True,68869e6
300,42,14,14,10,4,True,True,True,True,True,True,68869e6
301,42,15,15,11,4,True,True,True,True,True,True,68869e6
302,42,17,17,12,5,True,True,True,True,True,True,68869e6
303,42,18,18,13,5,True,True,True,True,True,True,68869e6
304,42,20,20,14,6,True,True,True,True,True,True,68869e6
305,42,21,21,15,6,True,True,True,True,True,True,68869e6
306,42,14,14,10,4,True,True,True,True,True,True,68869e6
307,42,15,15,11,4,True,True,True,True,True,True,68869e6
308,42,17,17,12,5,True,True,True,True,True,True,68869e6
309,42,18,18,13,5,True,True,True,True,True,True,68869e6
310,42,20,20,14,6,True,True,True,True,True,True,68869e6
311,42,21,21,15,6,True,True,True,True,True,True,68869e6
312,42,14,14,10,4,True,True,True,True,True,True,68869e6
313,42,15,15,11,4,True,True,True,True,True,True,68869e6
314,42,17,17,12,5,True,True,True,True,True,True,68869e6
315,42,18,18,13,5,True,True,True,True,True,True,68869e6
316,42,20,20,14,6,True,True,True,True,True,True,68869e6
317,42,21,21,15,6,True,True,True,True,True,True,68869e6
318,42,14,14,10,4,True,True,True,True,True,True,68869e6
319,42,15,15,11,4,True,True,True,True,True,True,68869e6
320,42,17,17,12,5,True,True,True,True,True,True,68869e6
321,42,18,18,13,5,True,True,True,True,True,True,68869e6
322,42,20,20,14,6,True,True,True,True,True,True,68869e6
323,42,21,21,15,6,True,True,True,True,True,True,68869e6
324,42,14,14,10,4,True,True,True,True,True,True,68869e6
325,42,15,15,11,4,True,True,True,True,True,True,68869e6
326,42,17,17,12,5,True,True,True,True,True,True,68869e6
327,42,18,18,13,5,True,True,True,True,True,True,68869e6
328,42,20,20,14,6,True,True,True,True,True,True,68869e6
329,42,21,21,15,6,True,True,True,True,True,True,68869e6
330,42,14,14,10,4,True,True,True,True,True,True,68869e6
331,42,15,15,11,4,True,True,True,True,True,True,68869e6
332,42,17,17,12,5,True,True,True,True,True,True,68869e6
333,42,18,18,13,5,True,True,True,True,True,True,68869e6
334,42,20,20,14,6,True,True,True,True,True,True,68869e6
335,42,21,21,15,6,True,True,True,True,True,True,68869e6
336,42,14,14,10,4,True,True,True,True,True,True,68869e6
337,42,15,15,11,4,True,True,True,True,True,True,68869e6
338,42,17,17,12,5,True,True,True,True,True,True,68869e6
339,42,18,18,13,5,True,True,True,True,True,True,68869e6
340,42,20,20,14,6,True,True,True,True,True,True,68869e6
341,42,21,21,15,6,True,True,True,True,True,True,68869e6
342,42,14,14,10,4,True,True,True,True,True,True,68869e6
343,42,15,15,11,4,True,True,True,True,True,True,68869e6
344,42,17,17,12,5,True,True,True,True,True,True,68869e6
345,42,18,18,13,5,True,True,True,True,True,True,68869e6
346,42,20,20,14,6,True,True,True,True,True,True,68869e6
347,42,21,21,15,6,True,True,True,True,True,True,68869e6
348,42,14,14,10,4,True,True,True,True,True,True,68869e6
349,42,15,15,11,4,True,True,True,True,True,True,68869e6
350,42,17,17,12,5,True,True,True,True,True,True,68869e6
351,42,18,18,13,5,True,True,True,True,True,True,68869e6
352,42,20,20,14,6,True,True,True,True,True,True,68869e6
353,42,21,21,15,6,True,True,True,True,True,True,68869e6
354,42,14,14,10,4,True,True,True,True,True,True,68869e6
355,42,15,15,11,4,True,True,True,True,True,True,68869e6
356,42,17,17,12,5,True,True,True,True,True,True,68869e6
357,42,18,18,13,5,True,True,True,True,True,True,68869e6
358,42,20,20,14,6,True,True,True,True,True,True,68869e6
359,42,21,21,15,6,True,True,True,True,True,True,68869e6
360,42,14,14,10,4,True,True,True,True,True,True,68869e6
361,42,15,15,11,4,True,True,True,True,True,True,68869e6
362,42,17,17,12,5,True,True,True,True,True,True,68869e6
363,42,18,18,13,5,True,True,True,True,True,True,68869e6
364,42,20,20,14,6,True,True,True,True,True,True,68869e6
365,42,21,21,15,6,True,True,True,True,True,True,68869e6
366,42,14,14,10,4,True,True,True,True,True,True,68869e6
367,42,15,15,11,4,True,True,True,True,True,True,68869e6
368,42,17,17,12,5,True,True,True,True,True,True,68869e6
369,42,18,18,13,5,True,True,True,True,True,True,68869e6
370,42,20,20,14,6,True,True,True,True,True,True,68869e6
371,42,21,21,15,6,True,True,True,True,True,True,68869e6
372,42,14,14,10,4,True,True,True,True,True,True,68869e6
373,42,15,15,11,4,True,True,True,True,True,True,68869e6
374,42,17,17,12,5,True,True,True,True,True,True,68869e6
375,42,18,18,13,5,True,True,True,True,True,True,68869e6
376,42,20,20,14,6,True,True,True,True,True,True,68869e6
377,42,21,21,15,6,True,True,True,True,True,True,68869e6
378,42,14,14,10,4,True,True,True,True,True,True,68869e6
379,42,15,15,11,4,True,True,True,True,True,True,68869e6
380,42,17,17,12,5,True,True,True,True,True,True,68869e6
381,42,18,18,13,5,True,True,True,True,True,True,68869e6
382,42,20,20,14,6,True,True,True,True,True,True,68869e6
383,42,21,21,15,6,True,True,True,True,True,True,68869e6
384,42,14,14,10,4,True,True,True,True,True,True,68869e6
385,42,15,15,11,4,True,True,True,True,True,True,68869e6
386,42,17,17,12,5,True,True,True,True,True,True,68869e6
387,42,18,18,13,5,True,True,True,True,True,True,68869e6
388,42,20,20,14,6,True,True,True,True,True,True,68869e6
389,42,21,21,15,6,True,True,True,True,True,True,68869e6
390,42,14,14,10,4,True,True,True,True,True,True,68869e6
391,42,15,15,11,4,True,True,True,True,True,True,68869e6
392,42,17,17,12,5,True,True,True,True,True,True,68869e6
393,42,18,18,13,5,True,True,True,True,True,True,68869e6
394,42,20,20,14,6,True,True,True,True,True,True,68869e6
395,42,21,21,15,6,True,True,True,True,True,True,68869e6
396,42,14,14,10,4,True,True,True,True,True,True,68869e6
397,42,15,15,11,4,True,True,True,True,True,True,68869e6
398,42,17,17,12,5,True,True,True,True,True,True,68869e6
399,42,18,18,13,5,True,True,True,True,True,True,68869e6
400,42,20,20,14,6,True,True,True,True,True,True,68869e6
401,42,21,21,15,6,True,True,True,True,True,True,68869e6
402,42,14,14,10,4,True,True,True,True,True,True,68869e6
403,42,15,15,11,4,True,True,True,True,True,True,68869e6
404,42,17,17,12,5,True,True,True,True,True,True,68869e6
405,42,18,18,13,5,True,True,True,True,True,True,68869e6
406,42,20,20,14,6,True,True,True,True,True,True,68869e6
407,42,21,21,15,6,True,True,True,True,True,True,68869e6
408,42,14,14,10,4,True,True,True,True,True,True,68869e6
409,42,15,15,11,4,True,True,True,True,True,True,68869e6
410,42,17,17,12,5,True,True,True,True,True,True,68869e6
411,42,18,18,13,5,True,True,True,True,True,True,68869e6
412,42,20,20,14,6,True,True,True,True,True,True,68869e6
413,42,21,21,15,6,True,True,True,True,True,True,68869e6
414,42,14,14,10,4,True,True,True,True,True,True,68869e6
415,42,15,15,11,4,True,True,True,True,True,True,68869e6
416,42,17,17,12,5,True,True,True,True,True,True,68869e6
417,42,18,18,13,5,True,True,True,True,True,True,68869e6
418,42,20,20,14,6,True,True,True,True,True,True,68869e6
419,42,21,21,15,6,True,True,True,True,True,True,68869e6
420,42,14,14,10,4,True,True,True,True,True,True,68869e6
421,42,15,15,11,4,True,True,True,True,True,True,68869e6
422,42,17,17,12,5,True,True,True,True,True,True,68869e6
423,42,18,18,13,5,True,True,True,True,True,True,68869e6
424,42,20,20,14,6,True,True,True,True,True,True,68869e6
425,42,21,21,15,6,True,True,True,True,True,True,68869e6
426,42,14,14,10,4,True,True,True,True,True,True,68869e6
427,42,15,15,11,4,True,True,True,True,True,True,68869e6
428,42,17,17,12,5,True,True,True,True,True,True,68869e6
429,42,18,18,13,5,True,True,True,True,True,True,68869e6
430,42,20,20,14,6,True,True,True,True,True,True,68869e6
431,42,21,21,15,6,True,True,True,True,True,True,68869e6
432,42,14,14,10,4,True,True,True,True,True,True,68869e6
433,42,15,15,11,4,True,True,True,True,True,True,68869e6
434,42,17,17,12,5,True,True,True,True,True,True,68869e6
435,42,18,18,13,5,True,True,True,True,True,True,68869e6
436,42,20,20,14,6,True,True,True,True,True,True,68869e6
437,42,21,21,15,6,True,True,True,True,True,True,68869e6
438,42,14,14,10,4,True,True,True,True,True,True,68869e6
439,42,15,15,11,4,True,True,True,True,True,True,68869e6
440,42,17,17,12,5,True,True,True,True,True,True,68869e6
441,42,18,18,13,5,True,True,True,True,True,True,68869e6
442,42,20,20,14,6,True,True,True,True,True,True,68869e6
443,42,21,21,15,6,True,True,True,True,True,True,68869e6
444,42,14,14,10,4,True,True,True,True,True,True,68869e6
445,42,15,15,11,4,True,True,True,True,True,True,68869e6
446,42,17,17,12,5,True,True,True,True,True,True,68869e6
447,42,18,18,13,5,True,True,True,True,True,True,68869e6
448,42,20,20,14,6,True,True,True,True,True,True,68869e6
449,42,21,21,15,6,True,True,True,True,True,True,68869e6
450,42,14,14,10,4,True,True,True,True,True,True,68869e6
451,42,15,15,11,4,True,True,True,True,True,True,68869e6
452,42,17,17,12,5,True,True,True,True,True,True,68869e6
453,42,18,18,13,5,True,True,True,True,True,True,68869e6
454,42,20,20,14,6,True,True,True,True,True,True,68869e6
455,42,21,21,15,6,True,True,True,True,True,True,68869e6
456,42,14,14,10,4,True,True,True,True,True,True,68869e6
457,42,15,15,11,4,True,True,True,True,True,True,68869e6
458,42,17,17,12,5,True,True,True,True,True,True,68869e6
459,42,18,18,13,5,True,True,True,True,True,True,68869e6
460,42,20,20,14,6,True,True,True,True,True,True,68869e6
461,42,21,21,15,6,True,True,True,True,True,True,68869e6
462,42,14,14,10,4,True,True,True,True,True,True,68869e6
463,42,15,15,11,4,True,True,True,True,True,True,68869e6
464,42,17,17,12,5,True,True,True,True,True,True,68869e6
465,42,18,18,13,5,True,True,True,True,True,True,68869e6
466,42,20,20,14,6,True,True,True,True,True,True,68869e6
467,42,21,21,15,6,True,True,True,True,True,True,68869e6
468,42,14,14,10,4,True,True,True,True,True,True,68869e6
469,42,15,15,11,4,True,True,True,True,True,True,68869e6
470,42,17,17,12,5,True,True,True,True,True,True,68869e6
471,42,18,18,13,5,True,True,True,True,True,True,68869e6
472,42,20,20,14,6,True,True,True,True,True,True,68869e6
473,42,21,21,15,6,True,True,True,True,True,True,68869e6
474,42,14,14,10,4,True,True,True,True,True,True,68869e6
475,42,15,15,11,4,True,True,True,True,True,True,68869e6
476,42,17,17,12,5,True,True,True,True,True,True,68869e6
477,42,18,18,13,5,True,True,True,True,True,True,68869e6
